user_id,region,district,is_capital_area,property_type,exclusive_area_sqm,deposit_amount,market_price_estimate,senior_bond_amount,loan_amount_requested,deposit_to_market_ratio_pct,senior_plus_deposit_to_market_pct,settlement_date,repayment_method,interest_rate_type,financial_sector,dsr_estimated_pct,info_completeness
U0203,서울,서초구,Y,다세대,56.5,33914,59011,19963,22128,57.5,91.3,2026-10-01,만기일시,고정,은행,18.5,Y
U0204,서울,강남구,Y,오피스텔,51.8,7016,11012,3220,4628,63.7,93.0,2026-08-05,원금균등,변동,은행,7.3,Y
U0205,서울,관악구,Y,아파트,51.5,31004,47892,2236,23831,64.7,69.4,2026-10-11,원리금균등,고정,은행,42.1,Y
U0206,전북,전주시,N,다세대,73.2,14435,16237,4697,10035,88.9,117.8,2026-11-26,원리금균등,고정,2금융권,16.8,N
U0207,울산,남구,N,아파트,70.4,18200,30843,468,13851,59.0,60.5,2026-08-21,원리금균등,혼합,은행,12.2,Y
U0208,서울,광진구,Y,아파트,81.8,28861,45255,2820,20377,63.8,70.0,2026-08-25,만기일시,고정,은행,7.1,Y
U0209,인천,부평구,Y,아파트,129.0,50159,95117,19694,38901,52.7,73.4,2026-10-24,만기일시,혼합,은행,122.3,Y
U0210,대구,중구,N,연립,24.4,17185,28169,4009,11732,61.0,75.2,2026-09-06,만기일시,혼합,은행,13.7,Y
U0211,서울,노원구,Y,단독,71.8,22988,35377,2565,17303,65.0,72.2,2026-09-30,만기일시,혼합,은행,28.7,Y
U0212,대전,중구,N,아파트,86.6,20813,32117,10781,14183,64.8,98.4,2026-09-02,원금균등,고정,은행,26.4,Y
U0213,대구,달서구,N,오피스텔,35.1,4063,7367,744,3224,55.2,65.3,2026-09-15,원리금균등,변동,은행,14.6,Y
U0214,대전,중구,N,다세대,49.7,9184,14687,1677,6787,62.5,73.9,2026-11-24,원금균등,변동,은행,11.1,Y
U0215,경기,남양주시,Y,단독,30.4,7624,14445,2905,5460,52.8,72.9,2026-08-28,만기일시,혼합,은행,14.7,N
U0216,충남,아산시,N,다세대,40.8,19972,37431,9880,15960,53.4,79.8,2026-11-28,만기일시,혼합,은행,31.0,Y
U0217,경기,남양주시,Y,다세대,24.7,19865,24142,2685,14715,82.3,93.4,2026-12-24,원금균등,고정,은행,15.0,Y
U0218,경기,화성시,Y,다세대,49.9,29901,46593,2342,20796,64.2,69.2,2026-11-18,원금균등,고정,2금융권,45.7,Y
U0219,울산,북구,N,다세대,53.7,3023,3180,292,2398,95.1,104.2,2026-11-04,원리금균등,변동,2금융권,9.2,Y
U0220,대구,북구,N,연립,62.3,18983,22560,462,13249,84.1,86.2,2026-08-10,원금균등,고정,은행,11.8,Y
U0221,경기,안산시,Y,아파트,92.9,39427,46215,2215,27292,85.3,90.1,2026-10-20,원금균등,혼합,은행,17.4,Y
U0222,광주,광산구,N,아파트,116.4,4813,5580,1356,3625,86.3,110.6,2026-08-29,원리금균등,혼합,은행,2.5,Y
U0223,전북,전주시,N,다세대,33.4,15577,16743,853,11869,93.0,98.1,2026-12-02,원금균등,고정,2금융권,22.3,Y
U0224,대구,달서구,N,오피스텔,53.2,11757,19322,1252,8830,60.8,67.3,2026-10-05,원금균등,변동,은행,8.0,Y
U0225,대전,중구,N,아파트,143.3,10845,19285,6039,8355,56.2,87.5,2026-10-09,원리금균등,고정,은행,8.3,Y
U0226,서울,강서구,Y,오피스텔,19.6,29981,49961,4870,22696,60.0,69.8,2026-09-14,만기일시,혼합,은행,22.4,Y
U0227,경기,고양시,Y,아파트,102.8,71293,114919,20913,51604,62.0,80.2,2026-09-20,만기일시,변동,은행,18.3,Y
U0228,서울,강서구,Y,단독,86.1,9088,12869,1407,6438,70.6,81.6,2026-11-29,만기일시,변동,은행,7.9,Y
U0229,경기,수원시,Y,단독,66.1,15798,22337,7755,11245,70.7,105.4,2026-09-07,원리금균등,고정,은행,10.2,Y
U0230,서울,성북구,Y,아파트,76.7,56658,98419,3447,42565,57.6,61.1,2026-11-12,만기일시,고정,은행,23.7,Y
U0231,서울,서초구,Y,연립,34.1,28665,45973,4857,22090,62.4,72.9,2026-11-22,원금균등,고정,은행,22.8,Y
U0232,경남,김해시,N,오피스텔,47.4,3668,4477,725,2516,81.9,98.1,2026-09-21,원금균등,고정,2금융권,7.4,Y
U0233,대전,유성구,N,아파트,36.3,17899,23020,4437,13364,77.8,97.0,2026-11-08,원리금균등,고정,2금융권,10.4,Y
U0234,충남,아산시,N,연립,24.9,14197,24237,2659,11001,58.6,69.5,2026-09-05,원금균등,고정,은행,13.5,Y
U0235,전북,전주시,N,오피스텔,44.5,20847,34128,9422,14300,61.1,88.7,2026-09-24,만기일시,혼합,은행,11.2,Y
U0236,광주,서구,N,다세대,85.7,17451,24350,289,13611,71.7,72.9,2026-11-09,원금균등,혼합,2금융권,23.1,Y
U0237,서울,동작구,Y,아파트,50.7,52277,97978,28484,39964,53.4,82.4,2026-10-20,원금균등,변동,2금융권,29.6,Y
U0238,전남,목포시,N,오피스텔,58.8,6366,10479,619,4521,60.8,66.7,2026-09-11,원리금균등,고정,은행,18.5,Y
U0239,서울,용산구,Y,다세대,94.6,12772,20762,3040,9084,61.5,76.2,2026-09-19,원금균등,고정,은행,26.7,Y
U0240,인천,연수구,Y,오피스텔,59.9,33119,62003,12982,25245,53.4,74.4,2026-09-09,만기일시,변동,은행,15.5,Y
U0241,경기,안양시,Y,다세대,89.3,12771,22929,4919,9760,55.7,77.2,2026-09-25,원금균등,혼합,은행,12.0,N
U0242,부산,수영구,N,아파트,112.4,11961,17571,5202,9330,68.1,97.7,2026-07-30,원리금균등,혼합,은행,14.7,Y
U0243,대구,북구,N,아파트,42.1,18699,30117,4786,14834,62.1,78.0,2026-07-08,원금균등,혼합,은행,9.6,N
U0244,제주,서귀포시,N,아파트,128.5,5677,9722,970,4331,58.4,68.4,2026-08-06,원금균등,변동,은행,18.9,Y
U0245,대구,수성구,N,연립,92.9,15691,25113,6273,12390,62.5,87.5,2026-12-19,만기일시,고정,은행,8.6,Y
U0246,경기,광명시,Y,단독,45.4,22153,37734,215,16860,58.7,59.3,2026-08-22,원금균등,고정,은행,12.9,Y
U0247,경기,평택시,Y,다세대,84.9,33940,53001,9029,25210,64.0,81.1,2026-10-07,만기일시,변동,은행,41.6,Y
U0248,제주,제주시,N,아파트,119.2,5389,7591,309,4232,71.0,75.1,2026-10-28,원금균등,변동,2금융권,5.8,Y
U0249,서울,관악구,Y,다세대,70.3,29317,42941,10735,21379,68.3,93.3,2026-09-25,만기일시,고정,2금융권,24.8,Y
U0250,전북,익산시,N,아파트,65.9,16372,30547,8907,12295,53.6,82.8,2026-11-04,원리금균등,변동,은행,15.2,Y
U0251,광주,광산구,N,아파트,40.1,10897,17162,725,7449,63.5,67.7,2026-10-02,원금균등,혼합,2금융권,10.1,Y
U0252,서울,서초구,Y,아파트,103.6,79928,145816,8014,55456,54.8,60.3,2026-11-13,원금균등,혼합,은행,19.0,Y
U0253,경기,고양시,Y,단독,58.8,28404,33156,4976,22374,85.7,100.7,2026-11-16,만기일시,고정,은행,35.5,Y
U0254,전남,여수시,N,아파트,132.2,16165,28976,7318,11268,55.8,81.0,2026-09-16,만기일시,변동,은행,26.3,Y
U0255,서울,서초구,Y,아파트,104.2,13827,24982,4721,9524,55.3,74.2,2026-09-22,만기일시,변동,은행,17.6,Y
U0256,전남,목포시,N,아파트,64.9,17803,29511,6945,13480,60.3,83.9,2026-09-08,원리금균등,고정,은행,10.2,Y
U0257,충북,충주시,N,다세대,50.1,5675,8399,1425,4078,67.6,84.5,2026-11-15,만기일시,고정,은행,12.6,Y
U0258,서울,송파구,Y,다세대,21.7,31722,57280,4322,24517,55.4,62.9,2026-08-07,만기일시,고정,2금융권,12.9,Y
U0259,전북,익산시,N,아파트,133.8,9110,9920,2328,6527,91.8,115.3,2026-07-29,원리금균등,혼합,은행,12.9,Y
U0260,광주,북구,N,아파트,56.1,18679,32933,6680,12379,56.7,77.0,2026-09-27,원금균등,변동,은행,10.6,Y
U0261,광주,북구,N,다세대,40.9,4426,5183,1620,3048,85.4,116.7,2026-08-06,원리금균등,고정,은행,4.0,Y
U0262,전북,전주시,N,아파트,95.1,17812,23314,3319,11802,76.4,90.6,2026-08-28,원리금균등,고정,2금융권,18.1,Y
U0263,세종,조치원읍,N,다세대,57.3,3387,5684,1120,2354,59.6,79.3,2026-08-07,원리금균등,혼합,2금융권,1.9,Y
U0264,인천,미추홀구,Y,연립,87.4,24854,34825,10912,18777,71.4,102.7,2026-11-21,원리금균등,혼합,은행,13.3,Y
U0265,서울,강남구,Y,단독,70.4,25985,31514,9003,19327,82.5,111.0,2026-09-01,원리금균등,혼합,2금융권,61.7,Y
U0266,전남,목포시,N,아파트,47.4,3768,4788,955,2578,78.7,98.6,2026-09-15,원리금균등,혼합,은행,9.4,N
U0267,서울,강남구,Y,오피스텔,24.3,12616,17751,2789,8210,71.1,86.8,2026-07-27,만기일시,혼합,2금융권,15.0,Y
U0268,서울,강북구,Y,연립,91.8,29808,52116,9479,20434,57.2,75.4,2026-12-07,만기일시,변동,은행,21.4,Y
U0269,울산,북구,N,아파트,102.1,10517,18772,5174,7820,56.0,83.6,2026-11-02,원금균등,혼합,은행,32.8,Y
U0270,경기,평택시,Y,아파트,48.4,15438,17885,3659,11223,86.3,106.8,2026-10-06,원금균등,변동,은행,11.4,Y
U0271,인천,남동구,Y,아파트,107.8,66193,124750,26187,46313,53.1,74.1,2026-09-30,만기일시,고정,은행,42.7,Y
U0272,강원,춘천시,N,아파트,125.5,2631,2785,349,1929,94.5,107.0,2026-10-27,원리금균등,변동,2금융권,3.9,Y
U0273,대구,북구,N,오피스텔,28.0,7183,12485,2888,5683,57.5,80.7,2026-12-13,원금균등,혼합,은행,5.2,Y
U0274,서울,송파구,Y,아파트,47.2,51645,79867,13669,39203,64.7,81.8,2026-12-23,만기일시,고정,은행,44.8,Y
U0275,경기,화성시,Y,아파트,80.6,41412,49016,14452,28499,84.5,114.0,2026-07-28,원금균등,변동,은행,15.8,Y
U0276,인천,계양구,Y,오피스텔,37.6,23953,41151,13346,15923,58.2,90.6,2026-07-16,만기일시,고정,은행,13.0,Y
U0277,경기,고양시,Y,오피스텔,24.5,26423,32458,2655,19502,81.4,89.6,2026-11-03,만기일시,혼합,은행,14.7,Y
U0278,서울,노원구,Y,다세대,49.1,28138,42403,4839,18388,66.4,77.8,2026-08-11,원리금균등,혼합,2금융권,15.7,Y
U0279,서울,강남구,Y,단독,64.5,4832,5891,1879,3420,82.0,113.9,2026-09-19,만기일시,변동,은행,9.4,Y
U0280,서울,관악구,Y,다세대,30.2,21828,28677,2037,16535,76.1,83.2,2026-08-27,원리금균등,혼합,은행,31.6,Y
U0281,경기,파주시,Y,오피스텔,33.1,9567,15069,2279,6771,63.5,78.6,2026-11-29,원리금균등,고정,2금융권,16.0,Y
U0282,경기,부천시,Y,아파트,51.5,28175,30653,287,21014,91.9,92.9,2026-11-02,원금균등,고정,은행,24.2,Y
U0283,서울,강북구,Y,아파트,46.9,69833,83324,19580,45509,83.8,107.3,2026-10-27,원금균등,고정,은행,191.7,Y
U0284,대전,서구,N,오피스텔,23.2,2813,3020,15,2175,93.1,93.6,2026-07-23,원리금균등,혼합,은행,3.9,Y
U0285,부산,수영구,N,아파트,57.7,15330,19725,4307,10066,77.7,99.6,2026-10-20,원금균등,혼합,은행,5.1,N
U0286,경북,구미시,N,오피스텔,44.7,3817,4065,1298,2738,93.9,125.8,2026-09-04,만기일시,변동,2금융권,10.7,Y
U0287,세종,조치원읍,N,아파트,105.1,17330,25869,8851,12949,67.0,101.2,2026-07-13,원리금균등,혼합,은행,6.1,Y
U0288,광주,북구,N,아파트,94.5,18007,22035,3913,12856,81.7,99.5,2026-08-18,만기일시,고정,은행,12.2,Y
U0289,경남,김해시,N,아파트,75.7,19154,32467,10472,14160,59.0,91.2,2026-08-20,원금균등,고정,은행,12.0,Y
U0290,강원,강릉시,N,아파트,87.8,15000,23251,3327,9837,64.5,78.8,2026-10-13,만기일시,고정,2금융권,10.1,N
U0291,울산,중구,N,연립,70.4,7459,11650,3881,5790,64.0,97.3,2026-07-30,만기일시,혼합,은행,7.9,Y
U0292,경남,창원시,N,아파트,97.1,18052,31448,2961,12301,57.4,66.8,2026-09-23,원리금균등,혼합,2금융권,13.0,Y
U0293,서울,마포구,Y,단독,32.8,34471,61733,9523,27127,55.8,71.3,2026-12-16,원리금균등,고정,은행,49.4,Y
U0294,서울,강남구,Y,아파트,91.2,87041,111061,18889,66459,78.4,95.4,2026-10-01,원금균등,변동,은행,335.3,Y
U0295,제주,서귀포시,N,오피스텔,48.6,7346,10535,2530,5733,69.7,93.7,2026-12-23,원리금균등,고정,은행,15.1,Y
U0296,경북,구미시,N,아파트,54.8,5292,7896,1580,4120,67.0,87.0,2026-08-08,원금균등,혼합,은행,13.7,Y
U0297,세종,나성동,N,단독,35.0,7524,10946,3438,5030,68.7,100.1,2026-11-20,만기일시,혼합,은행,12.8,Y
U0298,서울,강북구,Y,아파트,115.9,85102,143220,5820,60011,59.4,63.5,2026-10-12,만기일시,혼합,은행,26.1,Y
U0299,울산,남구,N,연립,53.1,14229,16705,3890,10959,85.2,108.5,2026-12-07,원금균등,고정,2금융권,47.6,Y
U0300,제주,제주시,N,오피스텔,47.5,8332,14521,4637,5615,57.4,89.3,2026-10-15,원금균등,변동,은행,10.2,Y
